sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	GBIF:4292058	Microlarinus lypriformis						Microlarinus	lypriformis								RO:0002454	hasHost		GBIF:3189896	Kallstroemia grandiflora						Kallstroemia	grandiflora											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-13			
	GBIF:1898402	Libytheana carinenta						Libytheana	carinenta								RO:0002437	interactsWith		GBIF:1898402	Libytheana carinenta						Libytheana	carinenta											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-09-25			
	GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis								RO:0002437	interactsWith		GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-08			
	GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis								RO:0002437	interactsWith		GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-08			
	GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis								RO:0002437	interactsWith		GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-08			
	GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis								RO:0002437	interactsWith		GBIF:2158881	Neoscona oaxacensis						Neoscona	oaxacensis											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-08			
	ITIS:82732	Araneae															RO:0002437	interactsWith		ITIS:82732	Araneae																		Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-08			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	ITIS:117556	Geometridae															RO:0002454	hasHost		GBIF:5385067	Gutierrezia sarothrae						Gutierrezia	sarothrae											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-09			
	GBIF:1932172	Brephidium exile						Brephidium	exile								RO:0002622	visitsFlowersOf		GBIF:3099243	Isocoma acradenia						Isocoma	acradenia											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-10T12:10:51			
	GBIF:11201186	Brachymelecta californica						Brachymelecta	californica								RO:0002622	visitsFlowersOf		GBIF:3095440	Dieteria asteroides						Dieteria	asteroides											Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193			2021-10-10T13:57:56			
